N,AMO.1206.80.121,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,4,120cm x 180cm        120,2.55,275,20,220,AMO_1206_80_V,AMO_1206_80_S,AMO_1206_80_L, 
N,BOU.1008.80.280,BOUNCE                                                      ,Modern                                                           ,Bounce is loud bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                         ,100%Heat set polypropylene frise; machine made                                                                                                                                                                                                            ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,1,280cm x 380cm        280,2.2,1115,20,892,BOU_1008_80_V,BOU_1008_80_S,BOU_1008_80_L, 
N,BOU.1161.80.120,BOUNCE                                                      ,Modern                                                           ,Bounce is loud bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                         ,100%Heat set polypropylene frise; machine made                                                                                                                                                                                                            ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,1,120cm x 170cm        120,2.2,213,20,170.4,BOU_1161_80_V,BOU_1161_80_S,BOU_1161_80_L, 
N,BOU.1161.80.158,BOUNCE                                                      ,Modern                                                           ,Bounce is loud bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                         ,100%Heat set polypropylene frise; machine made                                                                                                                                                                                                            ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,4,160cm x 235cm        160,2.2,395,20,316,BOU_1161_80_V,BOU_1161_80_S,BOU_1161_80_L, 
N,BOU.1161.80.215,BOUNCE                                                      ,Modern                                                           ,Bounce is loud bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                         ,100%Heat set polypropylene frise; machine made                                                                                                                                                                                                            ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,1,200cm x 285cm        200,2.2,599,20,479.2,BOU_1161_80_V,BOU_1161_80_S,BOU_1161_80_L, 
N,BOU.1161.80.243,BOUNCE                                                      ,Modern                                                           ,Bounce is loud bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                         ,100%Heat set polypropylene frise; machine made                                                                                                                                                                                                            ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,1,240cm x 340cm        240,2.2,855,20,684,BOU_1161_80_V,BOU_1161_80_S,BOU_1161_80_L, 
N,BOU.5992.20.215,BOUNCE                                                      ,Modern                                                           ,Bounce is loud bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                         ,100%Heat set polypropylene frise; machine made                                                                                                                                                                                                            ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,3,200cm x 285cm        200,2.2,599,20,479.2,BOU_5992_20_V,BOU_5992_20_S,BOU_5992_20_L, 
N,BRA.1003.80.074,BRAZIL                                                      ,Tribal                                                           ,Brazil is one of the jewels in our high end ranges. Woven in a dense wool blend; this rare bright colour pallet is available in two unique designs. This rug will be the master piece of any room.                                                        ,80% Wool; 20% Synthetic; machine made                                                                                                                                                                                                                     ,Naturally resilient; detailed pattern; dense hard wearing pile; very easy to clean; bright colour pallet                                                                                                                                                  ,                                                                                                                                                                                                                                                          ,TURKEY     ,80% Wool; 20% Synthetic                                          ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Do not use power or rotatory head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight. Shedding is a natural feature of spun products.                    ,2,70cm x 290cm         070,2.91,655,20,524,BRA_1003_80_V,BRA_1003_80_S,BRA_1003_80_L, 
N,BRA.1003.80.182,BRAZIL                                                      ,Tribal                                                           ,Brazil is one of the jewels in our high end ranges. Woven in a dense wool blend; this rare bright colour pallet is available in two unique designs. This rug will be the master piece of any room.                                                        ,80% Wool; 20% Synthetic; machine made                                                                                                                                                                                                                     ,Naturally resilient; detailed pattern; dense hard wearing pile; very easy to clean; bright colour pallet                                                                                                                                                  ,                                                                                                                                                                                                                                                          ,TURKEY     ,80% Wool; 20% Synthetic                                          ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Do not use power or rotatory head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight. Shedding is a natural feature of spun products.                    ,2,180cm x 280cm        180,2.91,1620,20,1296,BRA_1003_80_V,BRA_1003_80_S,BRA_1003_80_L, 
N,CAB.8020.40.121,CABO                                                        ,Clearance                                                        ,The Cabo range features tassels and blends both traditional and classic designs with a strong; vibrant colour palette.                                                                                                                                    ,100% heat set polypropylene; machine made; featuring tassels.                                                                                                                                                                                             ,Non-shedding; highly stain resistant; durable; tight weave; dense pile; vibrant colours; colourfast and easy to clean.                                                                                                                                    ,                                                                                                                                                                                                                                                          ,CABO       ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,1.5M POINTS/MACHINE ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,4,120cm x 180cm        120,3.2,445,50,222.5,CAB_8020_40_V,CAB_8020_40_S,CAB_8020_40_L, 
N,CAB.8020.40.158,CABO                                                        ,Clearance                                                        ,The Cabo range features tassels and blends both traditional and classic designs with a strong; vibrant colour palette.                                                                                                                                    ,100% heat set polypropylene; machine made; featuring tassels.                                                                                                                                                                                             ,Non-shedding; highly stain resistant; durable; tight weave; dense pile; vibrant colours; colourfast and easy to clean.                                                                                                                                    ,                                                                                                                                                                                                                                                          ,CABO       ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,1.5M POINTS/MACHINE ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,6,160cm x 235cm        160,3.2,769,50,384.5,CAB_8020_40_V,CAB_8020_40_S,CAB_8020_40_L, 
N,CAB.8020.40.215,CABO                                                        ,Clearance                                                        ,The Cabo range features tassels and blends both traditional and classic designs with a strong; vibrant colour palette.                                                                                                                                    ,100% heat set polypropylene; machine made; featuring tassels.                                                                                                                                                                                             ,Non-shedding; highly stain resistant; durable; tight weave; dense pile; vibrant colours; colourfast and easy to clean.                                                                                                                                    ,                                                                                                                                                                                                                                                          ,CABO       ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,1.5M POINTS/MACHINE ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,3,200cm x 285cm        200,3.2,1169,50,584.5,CAB_8020_40_V,CAB_8020_40_S,CAB_8020_40_L, 
N,CAB.8020.65.158,CABO                                                        ,Clearance                                                        ,The Cabo range features tassels and blends both traditional and classic designs with a strong; vibrant colour palette.                                                                                                                                    ,100% heat set polypropylene; machine made; featuring tassels.                                                                                                                                                                                             ,Non-shedding; highly stain resistant; durable; tight weave; dense pile; vibrant colours; colourfast and easy to clean.                                                                                                                                    ,                                                                                                                                                                                                                                                          ,CABO       ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,1.5M POINTS/MACHINE ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,3,160cm x 235cm        160,3.2,769,50,384.5,CAB_8020_65_V,CAB_8020_65_S,CAB_8020_65_L, 
N,CAB.8020.65.215,CABO                                                        ,Clearance                                                        ,The Cabo range features tassels and blends both traditional and classic designs with a strong; vibrant colour palette.                                                                                                                                    ,100% heat set polypropylene; machine made; featuring tassels.                                                                                                                                                                                             ,Non-shedding; highly stain resistant; durable; tight weave; dense pile; vibrant colours; colourfast and easy to clean.                                                                                                                                    ,                                                                                                                                                                                                                                                          ,CABO       ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,1.5M POINTS/MACHINE ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,1,200cm x 285cm        200,3.2,1169,50,584.5,CAB_8020_65_V,CAB_8020_65_S,CAB_8020_65_L, 
N,CAI.0050.45.984,CAIRO                                                       ,Traditional                                                      ,Cairo is a classic Egyptian design that is available in four colours. This range has a timeless design that will add sophistication to any room.                                                                                                          ,100% heat set polypropylene; machine made; featuring tassels.                                                                                                                                                                                             ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; classic colours; colourfast; antistatic and easy to clean.                                                                                                                   ,                                                                                                                                                                                                                                                          ,ISRAEL     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,3,80cm x 340cm         080,3.4,580,20,464,CAI_0050_45_V,CAI_0050_45_S,CAI_0050_45_L, 
N,CUD.3200.20.086,CUDDLES                                                     ,Childrens                                                        ,Add a little fun to your floor with our exclusive children's range Cuddles. Make learning the alphabet a breeze; or provide some old fashion fun. Add a bit of princess or try a tractor. Our Cuddles range will help them imagine; learn; and grow.      ,Polyester; tufted; hand carved                                                                                                                                                                                                                            ,Soft; luxurious look and feel; vibrant colours; fun designs; dense hand carved pile; cost effective                                                                                                                                                       ,Soft luxurious look and feel; vibrant colours; fun designs; dense pile; cost effective                                                                                                                                                                    ,CHINA      ,Polyester                                                        ,                                                                 ,TUFTED              ,Regular vacuuming required. Do not use power or rotatory head vacuum cleaners. Professional cleaning recommended. Spills should be blotted up immediately. Keep out of direct sunlight. Shedding is a natural feature of spun products. Do not pull at tufts.  ,13,80cm x 120cm         080,2.8,95,20,76,CUD_3200_20_V,CUD_3200_20_S,CUD_3200_20_L, 
N,CUD.3206.10.062,CUDDLES                                                     ,Childrens                                                        ,Add a little fun to your floor with our exclusive children's range Cuddles. Make learning the alphabet a breeze; or provide some old fashion fun. Add a bit of princess or try a tractor. Our Cuddles range will help them imagine; learn; and grow.      ,Polyester; tufted; hand carved                                                                                                                                                                                                                            ,Soft; luxurious look and feel; vibrant colours; fun designs; dense hand carved pile; cost effective                                                                                                                                                       ,Soft luxurious look and feel; vibrant colours; fun designs; dense pile; cost effective                                                                                                                                                                    ,CHINA      ,Polyester                                                        ,                                                                 ,TUFTED              ,Regular vacuuming required. Do not use power or rotatory head vacuum cleaners. Professional cleaning recommended. Spills should be blotted up immediately. Keep out of direct sunlight. Shedding is a natural feature of spun products. Do not pull at tufts.  ,4,60cm x 120cm         060,2.8,69,20,55.2,CUD_3206_10_V,CUD_3206_10_S,CUD_3206_10_L, 
N,CUD.3207.05.073,CUDDLES                                                     ,Childrens                                                        ,Add a little fun to your floor with our exclusive children's range Cuddles. Make learning the alphabet a breeze; or provide some old fashion fun. Add a bit of princess or try a tractor. Our Cuddles range will help them imagine; learn; and grow.      ,Polyester; tufted; hand carved                                                                                                                                                                                                                            ,Soft; luxurious look and feel; vibrant colours; fun designs; dense hand carved pile; cost effective                                                                                                                                                       ,Soft luxurious look and feel; vibrant colours; fun designs; dense pile; cost effective                                                                                                                                                                    ,CHINA      ,Polyester                                                        ,                                                                 ,TUFTED              ,Regular vacuuming required. Do not use power or rotatory head vacuum cleaners. Professional cleaning recommended. Spills should be blotted up immediately. Keep out of direct sunlight. Shedding is a natural feature of spun products. Do not pull at tufts.  ,4,70cm x 120cm         070,2.8,79,20,63.2,CUD_3207_05_V,CUD_3207_05_S,CUD_3207_05_L, 
N,CUD.4755.50.084,CUDDLES                                                     ,Childrens                                                        ,Add a little fun to your floor with our exclusive children's range Cuddles. Make learning the alphabet a breeze; or provide some old fashion fun. Add a bit of princess or try a tractor. Our Cuddles range will help them imagine; learn; and grow.      ,Polyester; tufted; hand carved                                                                                                                                                                                                                            ,Soft; luxurious look and feel; vibrant colours; fun designs; dense hand carved pile; cost effective                                                                                                                                                       ,Soft luxurious look and feel; vibrant colours; fun designs; dense pile; cost effective                                                                                                                                                                    ,CHINA      ,Polyester                                                        ,                                                                 ,TUFTED              ,Regular vacuuming required. Do not use power or rotatory head vacuum cleaners. Professional cleaning recommended. Spills should be blotted up immediately. Keep out of direct sunlight. Shedding is a natural feature of spun products. Do not pull at tufts.  ,11,80cm x 90cm          080,2.8,69,20,55.2,CUD_4755_50_V,CUD_4755_50_S,CUD_4755_50_L, 
N,CUD.4969.10.084,CUDDLES                                                     ,Childrens                                                        ,Add a little fun to your floor with our exclusive children's range Cuddles. Make learning the alphabet a breeze; or provide some old fashion fun. Add a bit of princess or try a tractor. Our Cuddles range will help them imagine; learn; and grow.      ,Polyester; tufted; hand carved                                                                                                                                                                                                                            ,Soft; luxurious look and feel; vibrant colours; fun designs; dense hand carved pile; cost effective                                                                                                                                                       ,Soft luxurious look and feel; vibrant colours; fun designs; dense pile; cost effective                                                                                                                                                                    ,CHINA      ,Polyester                                                        ,                                                                 ,TUFTED              ,Regular vacuuming required. Do not use power or rotatory head vacuum cleaners. Professional cleaning recommended. Spills should be blotted up immediately. Keep out of direct sunlight. Shedding is a natural feature of spun products. Do not pull at tufts.  ,11,80cm x 90cm          080,2.8,69,20,55.2,CUD_4969_10_V,CUD_4969_10_S,CUD_4969_10_L, 
N,CUD.5028.50.101,CUDDLES                                                     ,Childrens                                                        ,Add a little fun to your floor with our exclusive children's range Cuddles. Make learning the alphabet a breeze; or provide some old fashion fun. Add a bit of princess or try a tractor. Our Cuddles range will help them imagine; learn; and grow.      ,Polyester; tufted; hand carved                                                                                                                                                                                                                            ,Soft; luxurious look and feel; vibrant colours; fun designs; dense hand carved pile; cost effective                                                                                                                                                       ,Soft luxurious look and feel; vibrant colours; fun designs; dense pile; cost effective                                                                                                                                                                    ,CHINA      ,Polyester                                                        ,                                                                 ,TUFTED              ,Regular vacuuming required. Do not use power or rotatory head vacuum cleaners. Professional cleaning recommended. Spills should be blotted up immediately. Keep out of direct sunlight. Shedding is a natural feature of spun products. Do not pull at tufts.  ,4,100cm x 150cm        100,2.8,145,20,116,CUD_5028_50_V,CUD_5028_50_S,CUD_5028_50_L, 
N,CUD.5064.10.090,CUDDLES                                                     ,Childrens                                                        ,Add a little fun to your floor with our exclusive children's range Cuddles. Make learning the alphabet a breeze; or provide some old fashion fun. Add a bit of princess or try a tractor. Our Cuddles range will help them imagine; learn; and grow.      ,Polyester; tufted; hand carved                                                                                                                                                                                                                            ,Soft; luxurious look and feel; vibrant colours; fun designs; dense hand carved pile; cost effective                                                                                                                                                       ,Soft luxurious look and feel; vibrant colours; fun designs; dense pile; cost effective                                                                                                                                                                    ,CHINA      ,Polyester                                                        ,                                                                 ,TUFTED              ,Regular vacuuming required. Do not use power or rotatory head vacuum cleaners. Professional cleaning recommended. Spills should be blotted up immediately. Keep out of direct sunlight. Shedding is a natural feature of spun products. Do not pull at tufts.  ,3,90cm x 90cm          090,2.8,79,20,63.2,CUD_5064_10_V,CUD_5064_10_S,CUD_5064_10_L, 
N,CUD.5064.50.090,CUDDLES                                                     ,Childrens                                                        ,Add a little fun to your floor with our exclusive children's range Cuddles. Make learning the alphabet a breeze; or provide some old fashion fun. Add a bit of princess or try a tractor. Our Cuddles range will help them imagine; learn; and grow.      ,Polyester; tufted; hand carved                                                                                                                                                                                                                            ,Soft; luxurious look and feel; vibrant colours; fun designs; dense hand carved pile; cost effective                                                                                                                                                       ,Soft luxurious look and feel; vibrant colours; fun designs; dense pile; cost effective                                                                                                                                                                    ,CHINA      ,Polyester                                                        ,                                                                 ,TUFTED              ,Regular vacuuming required. Do not use power or rotatory head vacuum cleaners. Professional cleaning recommended. Spills should be blotted up immediately. Keep out of direct sunlight. Shedding is a natural feature of spun products. Do not pull at tufts.  ,3,90cm x 90cm          090,2.8,79,20,63.2,CUD_5064_50_V,CUD_5064_50_S,CUD_5064_50_L, 
N,CUD.5174.65.101,CUDDLES                                                     ,Childrens                                                        ,Add a little fun to your floor with our exclusive children's range Cuddles. Make learning the alphabet a breeze; or provide some old fashion fun. Add a bit of princess or try a tractor. Our Cuddles range will help them imagine; learn; and grow.      ,Polyester; tufted; hand carved                                                                                                                                                                                                                            ,Soft; luxurious look and feel; vibrant colours; fun designs; dense hand carved pile; cost effective                                                                                                                                                       ,Soft luxurious look and feel; vibrant colours; fun designs; dense pile; cost effective                                                                                                                                                                    ,CHINA      ,Polyester                                                        ,                                                                 ,TUFTED              ,Regular vacuuming required. Do not use power or rotatory head vacuum cleaners. Professional cleaning recommended. Spills should be blotted up immediately. Keep out of direct sunlight. Shedding is a natural feature of spun products. Do not pull at tufts.  ,11,100cm x 150cm        100,2.8,145,20,116,CUD_5174_65_V,CUD_5174_65_S,CUD_5174_65_L, 
N,CUD.5486.05.061,CUDDLES                                                     ,Childrens                                                        ,Add a little fun to your floor with our exclusive children's range Cuddles. Make learning the alphabet a breeze; or provide some old fashion fun. Add a bit of princess or try a tractor. Our Cuddles range will help them imagine; learn; and grow.      ,Polyester; tufted; hand carved                                                                                                                                                                                                                            ,Soft; luxurious look and feel; vibrant colours; fun designs; dense hand carved pile; cost effective                                                                                                                                                       ,Soft luxurious look and feel; vibrant colours; fun designs; dense pile; cost effective                                                                                                                                                                    ,CHINA      ,Polyester                                                        ,                                                                 ,TUFTED              ,Regular vacuuming required. Do not use power or rotatory head vacuum cleaners. Professional cleaning recommended. Spills should be blotted up immediately. Keep out of direct sunlight. Shedding is a natural feature of spun products. Do not pull at tufts.  ,8,60cm x 100cm         060,2.8,59,20,47.2,CUD_5486_05_V,CUD_5486_05_S,CUD_5486_05_L, 
N,CUD.5538.50.101,CUDDLES                                                     ,Childrens                                                        ,Add a little fun to your floor with our exclusive children's range Cuddles. Make learning the alphabet a breeze; or provide some old fashion fun. Add a bit of princess or try a tractor. Our Cuddles range will help them imagine; learn; and grow.      ,Polyester; tufted; hand carved                                                                                                                                                                                                                            ,Soft; luxurious look and feel; vibrant colours; fun designs; dense hand carved pile; cost effective                                                                                                                                                       ,Soft luxurious look and feel; vibrant colours; fun designs; dense pile; cost effective                                                                                                                                                                    ,CHINA      ,Polyester                                                        ,                                                                 ,TUFTED              ,Regular vacuuming required. Do not use power or rotatory head vacuum cleaners. Professional cleaning recommended. Spills should be blotted up immediately. Keep out of direct sunlight. Shedding is a natural feature of spun products. Do not pull at tufts.  ,2,100cm x 150cm        100,2.8,145,20,116,CUD_5538_50_V,CUD_5538_50_S,CUD_5538_50_L, 
N,DOL.1489.10.120,DOLCE                                                       ,Modern                                                           ,Dolce is a beautifully crafted machine made range with it's classic patterns defined in shrink acrylic a unique look. Combining blues; browns and beige with these classic designs has made this range 'the one to have' this year.                       ,95% Heat set polypropylene; 5% shrink Acrylic; machine made.                                                                                                                                                                                              ,Highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                                            ,                                                                                                                                                                                                                                                          ,Turkey     ,HSPP with acrylic highlights                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,1,120cm x 170cm        120,2.66,289,20,231.2,DOL_1489_10_V,DOL_1489_10_S,DOL_1489_10_L, 
N,DOL.1489.10.160,DOLCE                                                       ,Modern                                                           ,Dolce is a beautifully crafted machine made range with it's classic patterns defined in shrink acrylic a unique look. Combining blues; browns and beige with these classic designs has made this range 'the one to have' this year.                       ,95% Heat set polypropylene; 5% shrink Acrylic; machine made.                                                                                                                                                                                              ,Highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                                            ,                                                                                                                                                                                                                                                          ,Turkey     ,HSPP with acrylic highlights                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,3,160cm x 230cm        160,2.66,529,20,423.2,DOL_1489_10_V,DOL_1489_10_S,DOL_1489_10_L, 
N,DOL.1489.10.201,DOLCE                                                       ,Modern                                                           ,Dolce is a beautifully crafted machine made range with it's classic patterns defined in shrink acrylic a unique look. Combining blues; browns and beige with these classic designs has made this range 'the one to have' this year.                       ,95% Heat set polypropylene; 5% shrink Acrylic; machine made.                                                                                                                                                                                              ,Highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                                            ,                                                                                                                                                                                                                                                          ,Turkey     ,HSPP with acrylic highlights                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,10,200cm x 290cm        200,2.66,829,20,663.2,DOL_1489_10_V,DOL_1489_10_S,DOL_1489_10_L, 
N,DOL.1489.10.243,DOLCE                                                       ,Modern                                                           ,Dolce is a beautifully crafted machine made range with it's classic patterns defined in shrink acrylic a unique look. Combining blues; browns and beige with these classic designs has made this range 'the one to have' this year.                       ,95% Heat set polypropylene; 5% shrink Acrylic; machine made.                                                                                                                                                                                              ,Highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                                            ,                                                                                                                                                                                                                                                          ,Turkey     ,HSPP with acrylic highlights                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,2,240cm x 340cm        240,2.66,1169,20,935.2,DOL_1489_10_V,DOL_1489_10_S,DOL_1489_10_L, 
N,ESF.0326.05.243,ESFAHAN                                                     ,Traditional                                                      ,The Esfahan range has stood the test of time; blending both contemporary and traditional styles. Coming in a variety of colours; they will suit a wide range of settings.                                                                                 ,100% heat set polypropylene; machine made; features moc-leather back strip and tassels on some designs.                                                                                                                                                   ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic and easy to clean.                                                                                                                   ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,1,240cm x 340cm        240,3.75,1390,20,1112,ESF_0326_05_V,ESF_0326_05_S,ESF_0326_05_L, 
N,ESF.0326.20.080,ESFAHAN                                                     ,Traditional                                                      ,The Esfahan range has stood the test of time; blending both contemporary and traditional styles. Coming in a variety of colours; they will suit a wide range of settings.                                                                                 ,100% heat set polypropylene; machine made; features moc-leather back strip and tassels on some designs.                                                                                                                                                   ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic and easy to clean.                                                                                                                   ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,15,80cm x 150cm         080,3.75,205,20,164,ESF_0326_20_V,ESF_0326_20_S,ESF_0326_20_L, 
N,EVO.0460.45.160,EVOLUTION                                                   ,Shag                                                             ,Evolution is one of our hugely popular modern shags. Using vibrant colours with different textures; in popular patterns; this rug will bring life to any room.                                                                                            ,Polyester; tufted                                                                                                                                                                                                                                         ,Non-shedding; every one is unique; very thick and dense; vibrant colours; antistatic and easy to clean.                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,CHINA      ,Polyester                                                        ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,HAND TUFTED         ,Regular vacuuming required. Professional cleaning recommended. Do not use power or rotary head vacuum cleaners. Do not pull at fibres. Any spills ahouls be blotted up immediately. Keep out of direct sunlight. Loose fibres maybe present.                   ,8,160cm x 230cm        160,5.25,599,20,479.2,EVO_0460_45_V,EVO_0460_45_S,EVO_0460_45_L, 
